Date,Time,HomeTeam,AwayTeam,League,MatchID,Status,EventID,DrawNo,HomeWin,Draw,AwayWin,Over25,Under25,Day,LeagueType,BetStatus,Priority,DataSource,CollectedAt
2024-12-19,23:00,Cercle Brugge,Başakşehir,46196,1908798,1,387479912,20241217,1.89,,3.14,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Djurgarden,L. Varşova,46196,1908799,1,388056445,20241217,1.97,,3.11,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Hearts,Petrocub,46196,1908794,1,388056448,20241217,1.09,,5.1,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,J. Bialystok,O. Ljubljana,46196,1908792,1,388056451,20241217,1.93,,2.81,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Larne,KAA Gent,46196,1908786,1,388051914,20241217,13.65,,6.83,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,LASK,Vikingur Rey,46196,1908787,1,388056443,20241217,1.49,,3.5,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Lugano,Pafos,46196,1908802,1,388052013,20241217,1.82,,3.11,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Molde,Mlada Boleslav,46196,1908793,1,388056426,20241217,1.28,,4.18,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,NK Celje,TNS,46196,1908796,1,388056439,20241217,1.24,,4.52,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Tsc Backa T.,Noah,46196,1908789,1,388056449,20241217,1.88,,3.13,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Real Betis,HJK Helsinki,46196,1908791,1,388056441,20241217,,,7.5,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,Rapid Wien,Kopenhag,46196,1908795,1,388056415,20241217,2.32,,2.93,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:00,V. Guimaraes,Fiorentina,46196,1908788,1,388052044,20241217,2.79,,2.84,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:15,Dep. La Coruna,Castellon,1951,1907647,1,388070274,20241217,1.86,,3.21,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
2024-12-19,23:15,Huesca,Tenerife,1951,1907653,1,388070273,20241217,1.96,,2.59,,,Perşembe,1,0,0,Nesine,2024-12-18 01:45:13.971261
